Method,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,14_linear-bifurcating_cell10000_gene1000,15_linear-linear_cell10000_gene500,16_bifurcating_cell500_gene500,Bursting-tree_vary-all_cells1800_genes2000,Bursting-tree_vary-all_cells2200_genes2500,Bursting-tree_vary-koff_cells1200_genes800,Bursting-tree_vary-koff_cells1500_genes1500,Bursting-tree_vary-kon_cells1500_genes1500,Bursting-tree_vary-kon_cells1500_genes2000,Bursting-tree_vary-s_cells1000_genes500,Bursting-tree_vary-s_cells1200_genes1500,Bursting-tree_vary-s_cells1200_genes800,Bursting-tree_vary-s_cells1500_genes1000,lineage-tracing_rep01,lineage-tracing_rep02,lineage-tracing_rep03,lineage-tracing_rep04,lineage-tracing_rep05,lineage-tracing_rep06,lineage-tracing_rep07,lineage-tracing_rep08,lineage-tracing_rep09,lineage-tracing_rep10,bifurcating-loop_cell500_gene500,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene20000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell100000_gene1000,bifurcating_cell500_gene500,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell1000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene20000,bifurcating_cell10000_gene500,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell50000_gene1000,bifurcating_cell100000_gene1000,consecutive-bifurcating_cell500_gene500,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene20000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell100000_gene1000,cycle-simple_cell500_gene500,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene20000,cycle-simple_cell10000_gene500,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell50000_gene1000,cycle-simple_cell100000_gene1000,disconnected_cell500_gene500,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell1000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene20000,disconnected_cell10000_gene500,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell50000_gene1000,disconnected_cell100000_gene1000,linear-simple_cell500_gene500,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell1000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene20000,linear-simple_cell10000_gene500,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell50000_gene1000,linear-simple_cell100000_gene1000,trifurcating_cell500_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell1000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene20000,trifurcating_cell10000_gene500,trifurcating_cell10000_gene1000
scVelo stochastic,0.258810832,0.969739331,0.96451876,0.193853495,0.551523203,0.30423254,0.221393859,0.853397349,0.659858257,0.654347287,0.579150233,0.579150233,0.925351784,0.372578071,0.421460126,0.806385183,0.96602563237953,0.889499507078991,0.48003541614611,0.56366697377896,0.705160961341145,0.788250563082614,0.838088190035213,0.950576236972645,0.884250725093382,0.842370025203023,0.702850437,0.790897842,0.850339645,0.745904298,0.687469339,0.811027912,0.863485479,0.777231835,0.829266742,0.703516621,0.489920661,0.521594695,0.204627157,0.515933062,0.452713144,0.23993594,0.845820927,0.434398985,0.38987314,0.179357958,0.498743671,0.615594312,0.525467992,0.551387691,0.216694243,0.446024311,0.440608388,0.188202875,0.813766846,0.344007566,0.370834183,0.256505416,0.521397635,0.49254625,0.625753806,0.886803052,0.586119019,0.864670415,0.9113297,0.883531179,0.856126895,0.354217771,0.309213729,0.527157086,0.56910301,0.528400306,0.491684715,0.30520155,0.555285387,0.477388982,0.871366398,0.891679763,0.432181452,0.965363107,0.195215452,0.438765976,0.510428217,0.647426359,0.536993001,0.195956227,0.554576302,0.457244339,0.207463706,0.600941309,0.436282623,0.373711349,0.213912216,0.36891711,0.575304366,0.375507084,0.310810008,0.230094464,0.310847043,0.350998888,0.858419865,0.905685717,0.405304867,0.968993508,0.220150382,0.383700621,0.451608433,0.461767731,0.912191742,0.897056574,0.899335265,0.913635909,0.854251365,0.800836145,0.318985334,0.309159084
SDEvelo,0.995394158,0.996921126,0.996807279,0,0.495995215,0.556666087,0.832944441,0.99493613,0.558448607,0.887353838,0.53902708,0.53902708,0.998646774,0.733199798,0.930201119,0.919187974,0.997306031529406,0.996752646945426,0.997768906620381,0.998221079480928,0.998937414586578,0.998942140785512,0.996137809513248,0.996543169837418,0.99487643158619,0.995513279294688,0.595094438,0.662391013,0.828957141,0.597270397,0.570925876,0.799038942,0.829474767,0.838779402,0.670002868,0.889849352,0.513806297,0.473122808,0,0.671837274,0.392138827,0,0.900759116,0.422764557,0.590111008,0.99664925,0,0,0.538448527,0.571436255,0,0.477654174,0.660583398,0,0.976036852,0.936443351,0.656134326,0.830037642,0.815934119,0.996626079,0.715168602,0.997168179,0.558448607,0.916493761,0.996621404,0.996361887,0.98113149,0.615977911,0.362809656,0,0,0.535784221,0.486173274,0,0.414638092,0.507162507,0.98462664,0.816437898,0.562664174,0.996807279,0.991875255,0,0,0.884463681,0.68766928,0,0.650309087,0.5707513,0.592330995,0.762514254,0.966132621,0.960859367,0.967085308,0,0,0.39062229,0.264460671,0,0.36008978,0.629070543,0.991941,0.948355355,0.291124034,0.996921126,0.992818115,0,0,0.450561694,0.994143518,0.995180557,0.994129095,0.996105521,0.993968779,0.965263002,0.371343296,0.529557519
STT,0,0.901284097,0.863884015,0,0.416541562,0.724313123,0,0.878814969,0.45068987,0.650923329,0.269858612,0.269858612,0.771097582,0.609911734,0.608475273,0,0.981034016715293,0.982605106799196,0,0.956570321131144,0.870623412853605,0.909647950005552,0.974421801297462,0.977953686583133,0.970737981987264,0.97076728838829,0.873056443,0,0.825077815,0.799926692,0,0.794200276,0.805197304,0,0.848457878,0.847511694,0.542169767,0.455078768,0,0,0.352408007,0,0.311490763,0.330873998,0.188313801,0,0,0,0.383825619,0.219726288,0,0.306369194,0,0,0.446885816,0,0,0,0,0,0.511195037,0.876332954,0.464016506,0.90863877,0.843722289,0.878613918,0,0.462424526,0.426022759,0,0,0.594880456,0.367547365,0,0.549168344,0.44901898,0.931081757,0,0.474606552,0.863884015,0,0,0,0,0,0,0,0,0,0.602417898,0.673372195,0.619285223,0,0,0,0.17173657,0.0337409,0,0.058655993,0.201860217,0.881252386,0,0.460625138,0.879977465,0,0,0,0,0.821605341,0.81880442,0.874949629,0,0.853689034,0.536439393,0.271199073,0.235021243
TFvelo,0.331468771,0.998201337,0.999157407,0.445722158,0.963001824,0.66511726,0.491537796,0.999096959,0.981286358,0.967399933,0.977092422,0.977092422,0.999808284,0.91888897,0.942938493,0.998635763,0.996131703775824,0.997080086810337,0.98143611529378,0.971729202373401,0.995863169157767,0.993033006263752,0.994907408244877,0.996421916246237,0.995621107277795,0.995375845292095,0.804211195,0.767116922,0.812545404,0.739044952,0.708701811,0.897253928,0.739887333,0.68653444,0.818723974,0.937633707,0.890921544,0.907708882,0.014454404,0.970303179,0.914343305,0.389654136,0.998124951,0.936357843,0.904914131,0.998523587,0.929867011,0,0.997853561,0.91777619,0.339961532,0.938879386,0.916403336,0.57548392,0.998713121,0.951175168,0.90527353,0.98858878,0.950494526,0,0.978046671,0.999564429,0.99649596,0.998714987,0.999946163,0.999805549,0.999719977,0.978893459,0.979950881,0.950420664,0,0.935473504,0.904878259,0.215867425,0.936061022,0.906293246,0.997982027,0.983174232,0.976378421,0.999160354,0.99356327,0.953940477,0,0.944458147,0.86202377,0.331739543,0.950905029,0.901710352,0.524328085,0.927490556,0.931105298,0.935029802,0,0.888427418,0,0.906984278,0.736268826,0.268654847,0.928192455,0.813239692,0.993468419,0.997239799,0.957120278,0.998249641,0.991601443,0.877270329,0,0.921512044,0.996954084,0.99360937,1.000000000000000,0.997604231,0.996796066,0.997491477,0.980469385,0.940795931
TopicVelo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.915345168972209,0.553520333098344,0.68452261683176,0.682544797769321,0.919657554158769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836339693,0.434785782,0,0.190409677,0,0,0,0,0,0,0,0,0.715488936,0,0,0,0,0,0,0.898918478,0,0,0.913655081,0.884367537,0.756396261,0,0,0,0,0,0,0,0,0,0.867896405,0.899267243,0,0.961075649,0.204881983,0,0,0,0,0,0,0,0,0,0,0,0.236900299,0,0,0,0,0,0,0,0.853108932,0.843112185,0,0.961239658,0.223569578,0,0,0,0.90170467,0.880164213,0.904613046,0.892283967,0.851940561,0.672098702,0,0
UniTVelo,0.074152387,0.972626952,0.898218418,0.105841067,0.262273174,0.154071724,0.110597416,0.885463147,0.383689354,0.430353907,0.233955386,0.233955386,0.939766071,0.30866656,0.397460911,0.787736487,0.977377627213722,0.987739946850821,0.730021955138223,0.996896287349909,0.999263021744155,0.998537812360281,0.970827320897799,0.983726024787048,0.798743023029589,0.898904979517865,0.227964393,0.189825916,0.007047988,0.81004727,0.007774795,0.008632416,0.006424339,0.290965145,0.007952985,0.699337734,0.258489647,0.193371692,0.119758826,0.404974212,0.189073558,0.193161426,0.985797873,0.222877348,0.244898539,0.085535645,0.472549432,0.558594412,0.279363012,0.394837344,0.123099757,0.330231088,0.28704763,0.166641979,0.998307523,0.336656648,0.206187482,0.083286962,0.479010914,0.461275394,0.312338428,0.736260243,0.383689354,0.767663682,0.703543646,0.674913545,0.998721441,0.142738357,0.150189213,0.52448607,0.531424068,0.352342836,0.222430054,0.099577475,0.396740335,0.310673889,0.740079705,0.990098766,0.290691489,0.905631636,0.091014135,0.354563989,0.40534154,0.54522146,0.447361466,0.101676649,0.368744026,0.297510309,0.189001726,0.955994349,0.38531825,0.29139442,0.095164129,0.330007755,0.554876648,0.22360298,0.15903057,0.118618123,0.261997117,0.180850313,0.653827193,0.996884931,0.32915411,0.983774103,0.103103612,0.332946049,0.380098895,0.171531971,0.81725996,0.673202993,0.771358193,0.777662274,0.571318862,0.995638108,0.146263357,0.124595293
VeloAE,0,0.999632188,0.999695178,0,0.999672943,0,0,0.999282997,0.999394005,0.999676496,0.999938906,0.999955747,0.999120396,0.999989606,0.999663886,0.999431582,0.999381715138209,0.998746266721873,0.998954072452807,0.999332739581797,0.999876389984755,0.99995143576748,0.996772698270717,0.998305590188204,0.997464007923079,0.999300819073283,0.999811907,0.999742844,0.999851277,0.996269826,1.000000000000000,0.999959749,0.995606258,0.999854577,0.999838713,0.985134674,0.999912268,0.999358215,0,0.999184147,0.999625603,0,0.999996507,0.999968591,0.999959381,0.999993474,0.999963125,0.999936218,0.999196482,0.998278835,0,0.999119856,0.999661325,0,0.999999561,0.999940989,0.999895086,0.999996161,0.99997046,0.99989351,0.999950498,0.998339681,0.999860868,0.999705846,0.999737936,0.99985641,0.998062322,0.999943512,0.999979864,0.999945726,0.999893036,0.999983843,0.998317677,0,0.999597231,0.999267875,0.994230774,0.999997553,0.999548457,0.999804722,0.999998096,0.999918773,0.999863113,0.999842407,0.999994893,0,0.99999317,0.999987148,0,0.999947229,0.999789207,0.999914311,0.999998059,0.99975019,0.999849773,0.999974671,0.99999425,0,0.999993585,0.999989634,0.998126602,0.999999088,0.999846838,0.999313907,1.000000000000000,0.999949161,0.999786509,0.999991567,0.999293813,0.999660586,0.999172358,0.998865616,0.999674834,0.999999766,0.999580346,0.999989965
velocyto,0.023279209,0.996571432,0.995980474,0.031741749,0.125600146,0.036835507,0.036177429,0.447483316,0.156916614,0.128666235,0.113163885,0.113163885,0.36779416,0.677868702,0.86798773,0.446505095,0.904450886227335,0.295177329389953,0.23267027721946,0.189350553891566,0.189504636121254,0.711546514807679,0.37519712410612,0.469867934584798,0.401050870573031,0.340942438847519,0.495050728,0.59829656,0.622791879,0.679568057,0.631144728,0.667660952,0.768456138,0.65127088,0.572293541,0.704229172,0.142018139,0.10628296,0.046115244,0.140396674,0.081003226,0.030153219,0.26975754,0.85804877,0.335368224,0.992264223,0.883362152,0.932788488,0.177689104,0.102426826,0.04164898,0.126612353,0.096471518,0.030423261,0.230618324,0.548739559,0.706675755,0.331519391,0.887385557,0.89575193,0.186775834,0.551915074,0.133827222,0.449125367,0.541887125,0.490351282,0.231818845,0.380018056,0.456992614,0.892008676,0.904965564,0.151258495,0.101858952,0.064648221,0.106903267,0.083939396,0.507509586,0.307118214,0.900986171,0.996478328,0.989503294,0.844095918,0.887887353,0.233793926,0.170443754,0.031023313,0.18102605,0.141385786,0.016334311,0.217099769,0.954021416,0.705464027,0.876469653,0.351474775,0.904540967,0.129559739,0.089137991,0.070641381,0.074456456,0.05685311,0.52014226,0.251000997,0.746868406,0.995447356,0.987163713,0.7428462,0.884819683,0.157516308,0.550198083,0.469518261,0.514661832,0.539106903,0.470618313,0.21941631,0.95266790,0.544689544
VeloVAE,0.797987498,0.996339707,0.997369618,0.340587141,0.900382533,0.523575439,0.359287954,0.981022221,0.903231533,0.823563191,0.898178038,0.822681287,0.982234747,0.902204356,0.994932861,0.987164176,0.999246963802941,0.996828924576652,0.703038327685013,0.975665942625424,0.98764480372895,0.989262563426731,0.996967240770004,0.998081621337191,0.991382196526671,0.998397565643253,0.948265616,0.712685241,0.587721707,0.89889975,0.517186932,0.449305515,0.47092373,0.626290388,0.622915973,0.818727418,0.980604404,0.983537036,0.888192552,0.964112532,0.963105815,0.82254879,0.984046124,0.99409237,0.983345656,0.974687852,0.852781236,0.920796974,0.975503926,0.950433382,0.886528488,0.976944499,0.921216739,0.323571349,0.953348763,0.925001039,0.92577968,0.955303605,0.95827811,0.985283009,0.987814195,0.995469636,0.892789265,0.988374144,0.99375686,0.976609632,0.980245238,0.923020778,0.982670343,0.953248954,0.82502778,0.995151196,0.931913792,0.274078675,0.903691686,0.827210952,0.865046315,0.983613142,0.985093744,0.996572627,0.976054481,0.803047489,0.853244913,0.962303325,0.771494071,0.918849507,0.928964521,0.804271299,0.401943159,0.756558447,0.945763339,0.947780011,0.942800723,0.900889083,0.9842592,0.901995458,0.908909265,0.889300164,0.991372146,0.916350927,0.907984636,0.994686548,0.991778457,0.996852031,0.975955044,0.969699087,0.963694074,0.914332708,0.977607989,0.950614334,0.975434306,0.992352928,0.941326973,0.959253651,0.905497094,0.70300184
veloVI,0.322665345,0.982607886,0.980677919,0.827799246,0.76537465,0.598555445,0.547819248,0.890413334,0.874457034,0.900526162,0.746840779,0.752485496,0.906625239,0.745603343,0.898739841,0.917869132,0.938622456246805,0.939922830100544,0.919781173572323,0.93278382455142,0.935007102916926,0.929280299118579,0.909208097670643,0.93037746632658,0.942256492291584,0.953227718810414,0.717334718,0.642169632,0.703490375,0.720340841,0.740939363,0.730250044,0.776229727,0.752742442,0.768879584,0.8852453,0.797497559,0.747375164,0.256265311,0.835144259,0.714167459,0.378579934,0.915380925,0.870438652,0.794517506,0.977904104,0.947810299,0.96499078,0.812831174,0.737825125,0.185935985,0.76874302,0.775003367,0.279459378,0.920467179,0.821902248,0.737901077,0.497415108,0.954520543,0.940687549,0.897913755,0.884882244,0.764337061,0.927652198,0.915485521,0.907637886,0.861755067,0.789901634,0.631342019,0.956708557,0.955955608,0.78246615,0.695155782,0.241490757,0.836131603,0.757710644,0.860931308,0.902090834,0.906402748,0.980122239,0.969176015,0.922136776,0.949031596,0.86505352,0.867189429,0.191395371,0.848323905,0.771266603,0.501978916,0.775318569,0.890707531,0.795848143,0.954958357,0.600953427,0.956468599,0.717482379,0.464509405,0.311481053,0.778118532,0.583865183,0.89800388,0.954175736,0.925445669,0.981165794,0.981556867,0.915263239,0.930861693,0.620072063,0.889376402,0.822876275,0.907558776,0.937600771,0.86667479,0.82407877,0.788826341,0.788308778
